imdbId,title,releaseYear,releaseDate,genre,writers,actors,directors,sequel,hitFlop,primary_genre,primary_actor,primary_director,hitFlop_label,genre_enc,actor_enc,director_enc
tt2556308,Holiday,2014,06 Jun 2014,Action | Romance | Thriller,A.R. Murugadoss,Akshay Kumar | Sonakshi Sinha | Freddy Daruwala | Sumeet Raghvan,A.R. Murugadoss,0.0,6,Action,Akshay Kumar,A.R. Murugadoss,Hit,0,26,1
tt2560016,Rajdhani Express,2013,04 Jan 2013,Action | Drama | Thriller,Ashok Kohli (dialogue) | Ashok Kohli (screenplay),Ishrat Ali | Nishant Balgovind | Sayali Bhagat | Puja Bose,Ashok Kohli,0.0,1,Action,Ishrat Ali,Ashok Kohli,Flop,0,183,105
tt2571140,Boss,2013,16 Oct 2013,Action | Comedy | Drama,Siby K. Thomas (original story) | Udaykrishnan (original story) | Farhad | Sajid,Akshay Kumar | Shiv Pandit | Mithun Chakraborty | Ronit Roy,Anthony D'Souza,0.0,2,Action,Akshay Kumar,Anthony D'Souza,Flop,0,26,72
tt2573750,Gulaab Gang,2014,07 Mar 2014,Action | Drama,Soumik Sen (story) | Amitosh Nagpal (dialogue) | Soumik Sen (dialogue),Madhuri Dixit | Juhi Chawla | Divya Jagdale | Priyanka Bose,Soumik Sen,0.0,2,Action,Madhuri Dixit,Soumik Sen,Flop,0,237,613
tt2574698,Gunday,2014,14 Feb 2014,Action | Crime | Drama,Ali Abbas Zafar | Sanjay Masoom (additional dialogue),Ranveer Singh | Arjun Kapoor | Priyanka Chopra | Irrfan Khan,Ali Abbas Zafar,0.0,5,Action,Ranveer Singh,Ali Abbas Zafar,Average,0,356,44
tt2576450,Besharam,2013,02 Oct 2013,Comedy | Romance,Rajeev Barnwal | Abhinav Kashyap,Ranbir Kapoor | Pallavi Sharda | Rishi Kapoor | Neetu Singh,Abhinav Kashyap,0.0,2,Comedy,Ranbir Kapoor,Abhinav Kashyap,Flop,4,351,9
tt2589600,Mere Haule Dost,2013,07 Jun 2013,Comedy | Drama,Nitin Raghunath,Aadil Abedi | Catherine Fallows | Kiran Gadalay | Raghuvardhan Garlapati,Nitin Raghunath,0.0,1,Comedy,Aadil Abedi,Nitin Raghunath,Flop,4,1,370
tt2609218,Ragini MMS 2,2014,21 Mar 2014,Horror | Romance | Thriller,Tanveer Bookwala (story) | Ishita Moitra (dialogue),Sunny Leone | Saahil Prem | Parvin Dabas | Sandhya Mridul,Bhushan Patel,1.0,6,Horror,Sunny Leone,Bhushan Patel,Hit,11,467,127
tt2609468,Sona Spa,2013,22 Mar 2013,Drama | Mystery | Thriller,Makrand Deshpande,Nivedita Bhattacharya | Devyani | Shailesh Hejmady | Neha Iyyer,Makrand Deshpande,0.0,1,Drama,Nivedita Bhattacharya,Makrand Deshpande,Flop,7,297,307
tt2612924,Lucky Kabootar,2014,18 Apr 2014,Comedy,Shammi Chhabra | Shyam Goel,Shradha Das | Eijaz Khan | Ravi Kishan | Atul Mathur,Shammi Chhabra,0.0,1,Comedy,Shradha Das,Shammi Chhabra,Flop,4,432,572
tt2613380,Pehli Nazar Ka Pyaar,2008,04 Nov 2008,Romance,Armaan Shahabi,Vikas Anand | Sweety Chhabra | Farida Dadi | Raja Duggal,Arshad Khan | Arshad Khan,0.0,1,Romance,Vikas Anand,Arshad Khan,Flop,15,500,93
tt2613942,Dehraadun Diary,2013,04 Jan 2013,Thriller,Aseem Arora (screenplay) | Aseem Arora (script),Rati Agnihotri | Neelima Azim | Rohit Bakshi | Vishal Bhosle,Milind Ukey,0.0,1,Thriller,Rati Agnihotri,Milind Ukey,Flop,19,360,341
tt2615584,Phata Poster Nikhla Hero,2013,20 Sep 2013,Action | Comedy,Rajkumar Santoshi,Shahid Kapoor | Ileana | Padmini Kolhapure | Mukesh Tiwari,Rajkumar Santoshi,0.0,2,Action,Shahid Kapoor,Rajkumar Santoshi,Flop,0,418,463
