Model,Accuracy,Precision,Recall,F1-Score
SVM,0.7134353741496599,0.6835443037974683,0.8127090301003345,0.7425515660809778
Logistic Regression,0.7091836734693877,0.6758241758241759,0.822742474916388,0.7420814479638009
Decision Tree,0.7066326530612245,0.6754507628294036,0.81438127090301,0.7384382107657316
Random Forest,0.7185374149659864,0.7057010785824345,0.7658862876254181,0.7345629510825983
ANN,0.7193877551020408,0.7087227414330218,0.7608695652173914,0.7338709677419355
KNN,0.685374149659864,0.6838709677419355,0.7090301003344481,0.6962233169129721
